"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,2.39852365949583,3.97924454382669
2,3.02549598108761,4.83372675732949
3,4.10516225174325,7.18637489270884
4,5.10971402411975,7.07997787879319
5,5.40647607319017,6.73996551143008
6,5.55319529033296,6.66123007235892
7,5.63965665533975,6.65889206216646
8,5.70517444496934,6.67427964764124
9,5.74136884623887,6.67135146446207
10,5.77144267905407,6.66477364826299
11,5.78897587079989,6.66275701594755
12,5.81027909806134,6.66152669664357
13,5.82895387569027,6.66514484420866
14,5.84217334229041,6.667751301088
15,5.85206299258022,6.66924170948181
16,5.85984476398443,6.66953143223548
17,5.86595289053498,6.67016218300212
18,,
