"Pass []","re(Mode(1)) [g]","re(Mode(2)) [g]"
1,1.47084345889896,3.16742501093523
2,2.33218671367391,5.05449294233421
3,2.50491484499831,5.58804424811572
4,2.57509713880056,5.80986585147762
5,2.61437702480573,5.93487342751659
6,2.6389197336501,5.98453738475018
7,2.65408473449717,6.02264068474145
8,2.66440435795406,6.04447767171565
9,2.67285762780598,6.06144927133532
10,2.67810837728171,6.07239422182804
11,2.68384549889459,6.08081352159421
12,2.68874960318667,6.08702437179679
13,2.6925425233571,6.09170587313807
14,2.69452433098499,6.09423116426044
15,,
16,,
17,,
18,,
